BANK_ID,ASSETS,COST,P_LABOR_w1,P_FUNDS_w2,P_DEPOSI_w3,CON_LOAN_y1,NONC_LOA_y2,SECURITI_y3,t,POLICY
1155,30938,590,4.72,0.00229797,0.016756562,2132,14328,14162,1,2
1155,31115.17928,1165.325216,9.36244191,0.004329004,0.032825863,2155.353648,13977.92657,14758.79407,2,2
1155,30990.29342,1711.211785,15.00949467,0.008415842,0.049097473,2235.983399,13179.80277,15412.81015,3,2
1155,31009.62218,2219.694268,20.7171465,0.01483871,0.062453558,2217.721206,12729.20673,15861.44197,4,2
1155,30172.70921,498.5201086,5.075128807,0.004807692,0.013992806,2102.795036,12279.85289,15544.22916,5,2
1155,30450.72894,984.5725963,9.728978224,0.007037748,0.027582013,2406.949213,12376.2332,15161.63966,6,2
1155,32841.72289,1473.927096,14.53013776,0.011131725,0.038125861,2419.519906,12414.40692,17537.41434,7,2
1155,31519.19854,1977.194353,19.40875818,0.014681892,0.053455374,2242.544564,13810.66424,15041.62099,8,2
1155,31209.04742,510.408359,4.714386332,0.005545287,0.013751319,2140.483472,13608.03813,15054.67039,9,2
1155,32871.93241,1034.572975,9.865627644,0.00933553,0.026089723,2187.759413,13876.83369,16429.84726,10,2
1155,33060.38679,1574.259828,13.85282486,0.010915197,0.040176727,2317.660302,13403.53846,16932.59728,11,2
1155,34015.1585,2185.712996,18.18350761,0.016512284,0.053359562,2209.711534,13678.24362,17593.69739,12,2
1155,34683.76531,619.0105789,4.33020464,0.006125574,0.01463486,2228.620683,14465.49205,17496.6353,13,2
1155,35906.46861,1281.373411,8.726661555,0.009287926,0.029988733,2422.681322,15472.26766,17554.27354,14,2
1155,35930.61738,1949.493922,14.35430407,0.01559559,0.044978815,2510.208925,15508.92841,17497.89667,15,2
1155,35697.19435,2654.102927,20.51940518,0.031719533,0.060680768,2497.29792,15305.41597,17474.84888,16,2
1155,35949.31332,673.2510203,5.259773596,0.00875,0.015198656,2581.970536,15824.92385,17127.36496,17,2
1155,37275.50508,1362.387134,10.44005195,0.01508079,0.029405615,2855.605298,16196.0094,17839.24715,18,2
1155,40709.09684,2149.13601,15.68805213,0.016288385,0.04331784,2935.826988,16064.92135,21289.93263,19,2
1155,42934.72509,2961.843945,21.29878919,0.02429489,0.056468954,3170.339912,16164.87251,23203.11292,20,2
1155,43377.36284,804.5116061,5.147195194,0.005488157,0.0157206,2840.851965,16677.26224,23483.75325,21,2
1155,45336.14106,1605.677848,10.84105491,0.007775732,0.030393149,2660.379534,16526.75355,25794.62821,22,2
1155,46272.44565,2410.660148,14.39377745,0.010880906,0.045826235,2651.05607,18388.19397,24874.69577,23,2
1155,45267.08651,3234.970036,21.49889235,0.023093682,0.058682931,2920.054076,19820.54394,22174.91564,24,2
1155,48017.17423,768.1553337,5.291128911,0.003605047,0.012852635,4200.797635,20260.71908,23224.67049,25,2
1155,50821.64696,1525.762201,10.40388611,0.005347594,0.024554549,4219.544413,21642.57826,24633.92944,26,2
1155,50000.33411,2251.151275,16.02040155,0.007626907,0.037005887,4197.11732,21560.68027,23766.71008,27,2
1155,50974.64133,3056.604262,23.19096377,0.012402089,0.047344489,4145.280161,22185.84581,23887.30934,28,2
1155,53473.97659,733.2972015,5.781408428,0.002967359,0.010496672,4005.990458,21581.62537,26933.47953,29,2
1155,56413.26398,1471.419257,10.97852642,0.00546697,0.020407833,4305.532211,23574.11772,27377.09623,30,2
1155,54437.11494,2195.096605,15.67068419,0.008342728,0.031887,4258.903698,23588.88278,25333.27209,31,2
1155,55561.40478,2959.409743,22.9933991,0.01106854,0.040660779,3994.725316,26226.13624,24102.14652,32,2
1155,54972.03523,699.0287781,5.385273161,0.003488932,0.009633185,4138.694194,26219.91957,23415.87897,33,2
1155,58361.17214,1402.169667,10.58413549,0.005581473,0.019077422,4327.956768,28458.20845,24421.25314,34,2
1155,57952.57854,2152.318168,15.09438806,0.009789944,0.029218269,4496.8076,29151.98871,23178.20767,35,2
1155,59773.98139,2996.265791,23.69739545,0.014576342,0.038105092,5310.746552,30939.31107,22427.13915,36,2
1155,63284.12561,888.8677421,5.76747763,0.003603104,0.011300607,3857.1896,32777.96752,25650.73743,37,2
1155,62590.29931,1773.04817,11.01448868,0.007471088,0.023456687,4136.854985,33260.09786,24239.63807,38,2
1155,64182.95031,2703.079144,17.07046075,0.009079229,0.035334279,4130.323378,32260.946,26911.66228,39,2
1155,66548.3402,3678.689824,24.07108562,0.011901058,0.046544467,4071.797219,35222.11666,26357.31547,40,2
1155,66155.13556,950.0938773,6.125505171,0.005038369,0.01183432,3839.170375,35791.68704,25681.44067,41,2
1155,67137.01752,1852.834366,11.50667775,0.009412819,0.023302166,3801.152221,36242.80425,26320.09947,42,2
1155,68398.48644,2780.887056,16.9460305,0.014275629,0.033767819,3916.667829,36397.12637,27377.37966,43,2
1155,68417.0788,3749.529896,26.39641086,0.016686203,0.045687769,4214.179881,36108.86761,27421.86773,44,2
1155,70160.03126,948.2196035,6.331689111,0.006074536,0.010858344,4568.490667,37109.83325,27648.55931,45,2
1155,70082.03138,1895.055568,12.0409392,0.009856565,0.022411167,3404.840302,39632.22189,26275.91794,46,2
1155,74065.31693,2922.663667,17.56122859,0.011433747,0.03394577,3769.909409,41376.18517,28235.33687,47,4
1155,74168.72832,4064.607653,27.05245922,0.017527732,0.045266416,3679.017597,41489.04596,28299.05368,48,4
1155,73942.29399,1033.708423,6.335989797,0.004366812,0.011465437,3495.69303,42404.21207,27398.076,49,4
1155,75549.66084,2046.864774,12.12735557,0.007780021,0.023593445,3806.165693,43808.50998,27355.4334,50,4
1155,75994.29575,3089.694715,17.29964587,0.011867043,0.03510907,3936.6795,45093.67564,26410.0581,51,4
1155,77795.15368,4251.813599,26.77639485,0.018125524,0.045181985,3776.541979,44564.22059,28927.12521,52,4
1155,77956.64945,1016.781464,5.855448812,0.004485893,0.011486298,3823.506769,43983.45701,29679.95306,53,4
1155,81157.33434,2065.373645,11.05022154,0.007777209,0.023202273,3979.533732,47767.49058,28883.24355,54,4
1155,79911.91403,3132.011024,16.51105221,0.013228536,0.036149453,4047.566513,49217.62652,26129.54803,55,4
1155,81797.88535,4303.064689,25.82041479,0.019197058,0.046481215,3995.187909,49298.49899,27974.24661,56,4
1155,80990.63138,1117.773474,5.861137659,0.006195611,0.011799186,3844.940381,50478.70732,26153.17999,57,4
1155,84732.47652,2380.205697,11.96733398,0.012020506,0.024249756,3973.413636,53997.58126,26166.6081,58,4
1155,84359.44605,3700.998953,17.67430255,0.020068767,0.037879674,4089.833609,54197.89527,25494.12096,59,4
1155,86500.69286,5050.180678,25.21830178,0.024401035,0.046592112,4008.783075,54522.54378,27197.98642,60,4
1155,87513.213,1280.681166,5.884441557,0.003642987,0.012739822,4024.399081,53827.73507,28339.87422,61,4
1155,89188.63428,2549.257753,11.94024964,0.006513582,0.024977927,4348.448105,54793.77668,28103.58921,62,4
